(PDH-CSV 4.0) (W. Europe Daylight Time)(-120);\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec;\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec;\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use;\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time;Processor_0;Processor_1;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency
10/26/2021 23:44:26.302;0;3.867.780.780.761.520.000;3.984.584.280.751.780.000;9.207.784.733.501.250.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:28.287;0;0;39.847.357.463.987.300.000;91.632.977.886.671.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:30.295;0;20.398.362.692.749.200.000;39.847.231.246.495.400.000;87.611.918.155.202.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:32.287;0;10.278.428.474.458.800.000;3.984.578.869.767.620.000;91.658.217.179.759.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:34.289;0;81.852.373.568.957.300.000;39.845.572.328.159.000.000;86.692.941.933.080.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:36.303;0;36.612.990.490.445.100.000;39.844.977.282.882.800.000;86.978.009.456.577.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:38.300;0;0;39.843.534.734.063.600.000;8.967.508.354.873.550.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:40.294;0;20.531.064.864.531.000.000;39.843.498.668.596.900.000;86.245.980.088.074.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:42.309;0;24.395.865.806.061.200.000;39.845.319.869.892.000.000;90.698.766.701.858.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:44.304;0;0;39.844.688.759.149.200.000;85.483.688.794.723.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:46.293;0;45.299.268.396.104.100.000;39.846.726.353.244.500.000;88.857.162.965.122.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:48.299;0;22.462.591.180.740.800.000;39.862.720.537.898.700.000;89.899.278.348.953.000.000;100;100;100;100;100;100;100;100;100;100;100;100
