"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 00:14:44.195","0","234846.37972575001186","41.204680744839059514","9.5602778750990431433","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:46.195","16378.630266067271805","10236.643916292045105","41.304089883646014414","8.754494870566819742","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:48.206","0","2037.4496780769816269","41.46386937738020606","8.9326420674463733462","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:50.197","0","0","41.596871693990394192","9.3466660846434841403","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:52.211","0","27414867.372102342546","41.024994184501700545","8.5275347338324429813","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:54.203","0","67838.142031492578099","41.054404000997173796","8.8383076946549454789","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:56.198","0","10268.38438152663548","41.2001006866805497","9.1228112573797925933","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:58.208","0","171180.29245489067398","41.322067552553967573","8.463419598461596749","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:00.196","0","74147.608732578533818","41.456584548916801225","8.9903959728999005563","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:02.206","0","197668.41892876903876","41.591426087913902165","8.5315378691242056419","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:04.194","0","27619150.641033705324","41.033865800368104715","8.8060867723291806897","61","85","60","100","71","72","58","81","88","100","100","100"
"10/27/2021 00:15:06.199","0","0","41.048904308362146764","8.8811849088224708026","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:08.203","0","73588.476249031838961","41.146582397899258865","8.2445439926888788307","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:10.199","0","0","41.274517784191885994","9.353403677468474342","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:12.207","0","0","41.402958063735383121","8.0913310256025443579","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:14.195","0","53574.143312241940293","41.547789224783841178","9.27979526868720761","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:16.202","0","27493229.372147161514","41.041781762857404203","8.0130158042788774964","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:18.188","0","51555.633336537095602","41.045550406222588435","9.4672931705086611487","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:20.190","0","0","41.144436607403783057","8.2789278800535335279","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:22.194","0","0","41.270388509442653913","8.7273000314814765943","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:24.194","0","45043.597245498458506","41.368769840656028691","8.6823464663715270717","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:26.209","0","0","41.517135207894526161","8.911926642399825127","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:28.207","0","51250.40733813742554","41.588865579475850609","8.5680031679476691409","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:30.204","0","27560068.636137150228","41.043224288393567178","8.6655442820870902665","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:32.197","0","2055.6520620182600396","41.124367257841946355","8.9744841793038983013","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:34.205","0","50989.677777104996494","41.264275750439679769","7.8652209086039093222","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:36.197","0","2055.7537893549997534","41.38974078031949233","9.3594987099714579415","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:38.199","0","14322.672037535470736","41.49068261997091156","8.8077611079298669949","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:40.211","0","0","41.586124766987310863","8.5053649822369852274","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:42.205","59589.790432403227896","29755853.629366591573","41.043675095085916382","8.224819086066325724","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:44.198","0","57538.283768974317354","41.097121252933774826","9.2621369958790999988","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:46.209","0","134441.79249158781022","41.239427971010897522","8.5010810968608740978","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:48.198","0","47360.85687115501787","41.341163204363816419","9.1450937848835742727","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:50.203","0","0","41.4448458565037825","8.5913678572441813941","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:52.195","0","0","41.576513820694877666","9.138761625636194097","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:54.196","0","27539730.862342849374","41.031431532705070708","8.6705177748801496307","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:56.210","0","79308.910699479238247","41.064718165682798201","9.0446730502118928285","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:15:58.197","0","0","41.179995248368939542","8.9712772844256161164","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:00.206","0","16308.018495626103686","41.311915670827012548","8.2390188047427379558","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:02.193","0","26802.202483874785685","41.388857211309684203","8.9666867548685242895","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:04.204","0","18328.734079323683545","41.522779162396396657","9.0416455710614958008","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:06.199","0","27651291.368160683662","41.003247872228563153","8.8095762331541820345","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:08.213","0","0","41.02063049586038801","8.5872698720417481866","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:10.208","0","0","41.147303660667340353","8.745868639569810199","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:12.201","0","20545.892732582666213","41.270226226483991638","8.7568678373108674862","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:14.198","0","0","41.368625578789185226","9.22006133969152053","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:16.212","0","38646.809458178919158","41.504801493488443498","8.2471102890217533599","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:18.202","0","1592874.8946391684003","41.562629361069440392","8.6689667556977276774","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:20.195","0","26089297.61594574526","41.018592901765039471","8.6188132269495518756","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:22.206","0","93723.729489726596512","41.126711373479736267","8.8094318373205364736","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:24.196","0","0","41.257585943969338871","9.2034002385048214734","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:26.203","0","40820.359672613943985","41.366371615176639409","8.3879509337266515701","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:28.188","0","0","41.483668247583246114","8.964088880632449019","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:30.199","0","0","41.573304180422169907","9.2557942108456465746","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:32.202","0","27496956.181290689856","41.00110208173308024","8.3515496653170160357","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:34.198","0","0","41.045279926863798892","9.0678952299856554475","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:36.201","0","53177.231740000403079","41.179003506242068511","9.0414727813182942384","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:38.212","0","0","41.313646720096855347","8.6448583260073093015","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:40.210","0","0","41.440319884903800585","8.196237489439218038","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:42.208","0","0","41.558482065228389501","8.7969712986629371443","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:44.205","2050.3560641533185844","27540382.653707373887","40.987596297866566886","8.3571889356192308185","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:46.204","0","0","41.005754294108079705","8.9871630611898396523","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:48.193","0","0","41.138954959143639201","8.8644449502782052264","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:50.201","0","12233.924219859587538","41.276302920020256693","8.2843090599047606304","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:52.197","0","38980.627343469546759","41.407231600351451561","9.5103877512234813452","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:54.213","0","50827.212889781192644","41.543353405209110463","8.6429526323681606925","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:56.210","0","27570695.852768912911","40.993600883752478126","7.9734665266019693064","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:16:58.210","0","0","41.002905261936341219","8.5524614363385094151","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:00.201","0","22630.24002991917223","41.124511496425725454","9.3582446949570190498","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:02.208","0","0","41.246694755099412077","8.0755198357223783034","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:04.197","0","41179.755766648719145","41.374053140490794078","9.2161199118194865321","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:06.200","0","0","41.50399005541205355","8.8706186263826971583","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:08.211","0","533735.27406408509705","41.551846368599647974","8.3000867785809280264","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:10.204","16951.900587376934709","28245462.236270327121","41.261931611518825491","11.690180531279581899","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:12.193","0","0","41.285463059620340687","9.4014609519766487722","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:14.197","0","10223.32830736276992","41.423929003398853865","9.0658926080534047998","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:16.208","0","0","41.547212200599538789","8.5466031150776782255","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:18.196","0","0","41.656142110390618427","8.8576369432953665495","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:20.201","0","69448.392340330639854","41.756921667083382488","8.8998876771837043265","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:22.207","0","27444547.463379956782","41.271055685652200395","8.2327079961904363614","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:24.193","0","237162.91048796882387","41.264978968832870976","8.6138467205278743677","100","100","100","100","100","100","100","100","100","100","100","100"
